accuracy,precision,recall,f1
0.375,0.140625,0.375,0.20454545454545453
0.375,0.140625,0.375,0.20454545454545453
0.375,0.140625,0.375,0.20454545454545453
0.45,0.20249999999999999,0.45,0.2793103448275862
